Countries,CNTRY CODE,T\YEARS TEACHING,T\GENDER,T\AGE,T\LEVEL OF EDUCATION,T\CHARACTERIZE\TCHS DEGREE OF SUCCESS,T\CHARACTERIZE\TCHS EXPECTATIONS,T\CHARACTERIZE\TCHS ABILITY TO INSPIRE,T\CHARACTERIZE\PARENTAL INVOLVEMENT,T\CHARACTERIZE\PARENTAL SUPPORT,T\CHARACTERIZE\STUDENTS DESIRE,T\CHARACTERIZE\RESPECT FOR CLASSMATES,T\CURRENT SCH\SAFE NEIGHBORH,T\CURRENT SCH\FEEL SAFE,T\CURRENT SCH\STUD BEHAVE,T\CURRENT SCH\STUD RESPECT,T\CURRENT SCH\RESPECT PROPERTY,T\BEING A TEACHER\CONTENT,T\BEING A TEACHER\MEANING AND PURPOSE,T\BEING A TEACHER\ENTHUSIASTIC,T\AGREEMENT\TOO MANY STUDENTS,T\AGREEMENT\TOO MUCH MATERIAL,T\AGREEMENT\TOO MANY HOURS,T\AGREEMENT\NEED MORE TIME TO PREPARE,T\AGREEMENT\NEED MORE TIME TO ASSIST,T\AGREEMENT\TOO MUCH PRESSURE,T\AGREEMENT\TOO MANY ADMINISTRATIVE TASKS,T\HOW OFTEN\RELATE TO STUDENTS LIVES,T\HOW OFTEN\EXPLAIN ANSWERS,T\HOW OFTEN\BRING INTERESTING MATERIAL,T\HOW OFTEN\BEYOND INSTRUCTION,T\HOW OFTEN\CLASSROOM DISCUSSION,T\HOW OFTEN\ENCOURAGE TO EXPRESS IDEAS,T\LIMIT TEACHING\LACKING KNOWLEDGE,T\LIMIT TEACHING\LACK OF NUTRITION,T\LIMIT TEACHING\LACK OF SLEEP,T\LIMIT TEACHING\DISRUPTIVE STUDENTS,T\LIMIT TEACHING\UNINTERESTED STUDENTS,T\LIMIT TEACHING\MENTAL IMPAIRMENT,TM\ASK STUDENTS\EXPLAIN NEW MATHEMATICS,TM\ASK STUDENTS\MEMORIZE RULES,TM\ASK STUDENTS\WORK IN WHOLE CLASS,TM\PERMITTED TO USE CALCULATORS,TM\COMPUTER TABLET AVAILABILITY DURING MATH,TM\ACCESS TO COMPUTER\EACH STD HAS A COMPUTER,TM\ACCESS TO COMPUTER\CLASS HAS COMPUTERS,TM\ACCESS TO COMPUTER\SCHOOL HAS COMPUTERS,TM\HOW OFTEN MATH HOMEWORK ASSIGNED,TM\CORRECT HOMEWORK,TM\DISCUSS HOMEWORK,TM\PAST DEVELOPMENT\MATH CONTENT,TM\PAST DEVELOPMENT\MATH PEDAGOGY,TM\PAST DEVELOPMENT\STUDENT NEEDS,TS\ASK STUDENTS\EXPLAIN NEW SCIENCE,TS\ASK STUDENTS\OBSERVE PHENOMENA,TS\ASK STUDENTS\CONDUCT EXPERIMENTS,TS\ASK STUDENTS\INTERPRET DATA,TS\ASK STUDENTS\READ TEXTBOOKS,TS\ASK STUDENTS\MEMORIZE FACTS,TS\ASK STUDENTS\DO FIELD WORK,TS\COMPUTER TABLET AVAILABILITY,TS\ACCESS TO COMPUTER\EACH STD HAS A COMPUTER,TS\ACCESS TO COMPUTER\CLASS HAS COMPUTERS,TS\HOW OFTEN SCIENCE HOMEWORK ASSIGNED,TS\CORRECT HOMEWORK,TS\DISCUSS HOMEWORK,TS\PAST DEVELOPMENT\SCIENCE CONTENT,TS\PAST DEVELOPMENT\SCIENCE PEDAGOGY,TS\PAST DEVELOPMENT\STUDENT NEEDS,ST\GENDER,ST\AMOUNT OF BOOKS,ST\POSSESS COMPUTER TABLET,ST\POSSESS STUDY DESK,ST\POSSESS OWN ROOM,ST\POSSESS INTERNET CONNECTION,ST\POSSESS MOBILE OWN,ST\HOW OFTEN ABSENT FROM SCHOOL,ST\AGREE\BEING IN SCHOOL,ST\AGREE\SAFE AT SCHOOL,ST\AGREE\BELONG AT SCHOOL,ST\AGREE\TEACHERS FAIR,ST\HOW OFTEN\MADE FUN OF,ST\HOW OFTEN\LEFT OUT OF GAMES,ST\HOW OFTEN\SPREADING LIES ABOUT ME,ST\HOW OFTEN\STEALING STH FROM ME,ST\HOW OFTEN\THREATENED,STM\AGREE\ENJOY LEARNING MATHEMATICS,STM\AGREE\MATH IS BORING,STM\AGREE\LEARN INTERESTING THINGS,STM\AGREE\LIKE MATH PROBLEMS,STM\AGREE\MATH FAVORITE SUBJECT,STM\AGREE\TEACHER EASY TO UNDERSTAND,STM\AGREE\TEACHER CLEAR ANSWERS,STM\AGREE\TEACHER EXPLAINS GOOD,STM\AGREE\TEACHER DOES A VARIETY,STM\AGREE\USUALLY DO WELL IN MATH,STM\AGREE\HARDER FOR ME THAN FOR OTHERS,STM\AGREE\JUST NOT GOOD IN MATH,STM\AGREE\MATH MAKES ME NERVOUS,STM\AGREE\TEACHER I AM GOOD AT MATHEMATICS,STM\AGREE\MATHEMATICS HARDER FOR ME,STM\AGREE\MATH MAKES ME CONFUSED,STS\AGREE\ENJOY LEARNING SCIENCE,STS\AGREE\SCIENCE IS BORING,STS\AGREE\LEARN INTERESTING THINGS,STS\AGREE\SCIENCE TEACHES ME,STS\AGREE\SCIENCE EXPERIMENTS,STS\AGREE\FAVORITE SUBJECT,STS\AGREE\TEACHER EASY TO UNDERSTAND,STS\AGREE\TEACHER CLEAR ANSWERS,STS\AGREE\TEACHER EXPLAINS GOOD,STS\AGREE\TEACHER DOES A VARIETY,STS\AGREE\USUALLY DO WELL IN SCIENCE,STS\AGREE\HARDER FOR ME THAN FOR OTHERS,STS\AGREE\JUST NOT GOOD AT SCIENCE,STS\AGREE\TEACHER I AM GOOD AT SCIENCE,STS\AGREE\SCIENCE IS HARDER FOR ME,STS\AGREE\SCIENCE MAKES ME CONFUSED,H\HOW OFTEN\READ BOOKS,H\HOW OFTEN\TELL STORIES,H\HOW OFTEN\SING SONGS,H\HOW OFTEN\TALK WHAT HAD DONE,H\HOW OFTEN\PLAY WORD GAMES,H\HOW OFTEN\WRITE LETTERS WORDS,H\HOW OFTEN\READ ALOUD SIGNS,H\HOW OFTEN\NUMBER TOYS,H\HOW OFTEN\GAME WITH SHAPES,H\HOW OFTEN\BUILDING BLOCKS,H\HOW OFTEN\WRITE NUMBERS,H\CHILD BORN IN <COUNTRY>,H\AGE OF CHILD WHEN CAME TO <COUNTRY>,H\ATTEND\EARLY CHILDHOOD EDUCATION,H\ATTEND\PRE PRIMARY EDUCATION,H\SKILLS\RECOGNIZE LETTERS,H\SKILLS\READ SOME WORDS,H\SKILLS\READ SENTENCES,H\SKILLS\READ A STORY,H\SKILLS\WRITE LETTERS,H\SKILLS\COUNT BY THEMSELF,H\SKILLS\RECOG WRITTEN NUMERAL,H\SKILLS\WRITE NUMBERS,H\SKILLS\SIMPLE ADDITION,H\SKILLS\SIMPLE SUBTRACTION,H\MONTHS EXTRA LESSONS\MATHEMATICS,H\MONTHS EXTRA LESSONS\SCIENCE,H\AGREE\INCLUDED IN CHILDS EDU,H\AGREE\PROVIDES SAFE ENVIRONMENT,H\AGREE\CARES ABOUT CHILDS PROG,H\AGREE\PROMOTE HIGH STANDARDS,H\AGREE\HELP BECOME BETTER READ,H\AGREE\HELP BECOME BETTER MATH,H\AGREE\HELP BECOME BETTER SCI,H\BOOKS AT HOME,H\CHILD SPEAK LANGUAGE AT HOME,H\EDUCATION\<GUARDIAN A>,H\EDUCATION\<GUARDIAN B>,H\JOB\<GUARDIAN A>,H\JOB\<GUARDIAN B>,SC\STUDENTS ECONOMIC DISADVA,SC\STUDENTS ECONOMIC AFFLUEN,SC\AREA OF SCH LOCATION,SC\TOTAL COMPUTERS,SC\EXISTING SCIENCE LABORATORY,SC\EXISTING SCHOOL LIBRARY,SC\SHORTAGE\INSTRUCTIONAL MATERIAL,SC\SHORTAGE\SUPPLIES,SC\SHORTAGE\SCHOOL BUILDINGS,SC\SHORTAGE\HEATING SYSTEMS,SC\SHORTAGE\INSTRUCTIONAL SPACE,SC\SHORTAGE\TECHNOLOGICAL STAFF,SC\SHORTAGE\RESOURCES STD WITH DISAB,SC\SHORTAGE\MAT\LIBRARY RESOURCES,SC\SHORTAGE\MAT\CALCULATORS,SC\SHORTAGE\MAT\CONCRETE OBJECTS,SC\SHORTAGE\SCI\LIBRARY RESOURCES,SC\SHORTAGE\SCI\SCIENCE EQUIPMENT,SC\SCH CHARACTER\TCH SUCCESS,SC\SCH CHARACTER\TCH EXPECTATIONS,SC\SCH CHARACTER\TCH ABILITY TO INSPIRE,SC\SCH CHARACTER\PARENTAL INVOLVEMENT,SC\SCH CHARACTER\PARENTAL SUPPORT,SC\SCH CHARACTER\STD DESIRE TO DO WELL,SC\SCH CHARACTER\STD RESPECT,SC\PROBS\ARRIVING LATE,SC\PROBS\ABSENTEEISM,SC\PROBS\CLASSROOM DISTURBANCE,SC\PROBS\CHEATING,SC\PROBS\PROFANITY,SC\PROBS\VANDALISM,SC\PROBS\THEFT,SC\PROBS\INTIMIDATION AMONG STUD,SC\PROBS\PHYSICAL FIGHT,SC\PROBS\INTIMIDATION OF TEACHER,SC\PROBS\TEACHER ARRIVING LATE,SC\PROBS\TEACHER ABSENTEEISM,SC\PRIMARY\RECOGNIZE LETTERS,SC\PRIMARY\READ WORDS,SC\PRIMARY\READ SENTENCES,SC\PRIMARY\WRITE LETTERS,SC\PRIMARY\NUMBERS HIGHER THAN 10,SC\PRIMARY\WRITE NUMBERS 1-10,SC\PRIMARY\DO SIMPLE ADDITION,SC\PRIMARY\DO SIMPLE SUBTRACTION,SC\YEARS PRINCIPAL,SC\PRINCIPAL EDUCATION
"Abu Dhabi, UAE",AAD,11,1,3,5,2,2,2,3,3,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,3,2,2,1,1,4,1,1,1,1,1,2,2,2,2,2,2,3,2,2,1,3,1,1,1,1,1,1,3,1,1,2,1,1,4,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,1,1,1,2,3,3,3,2,3,3,2,3,2,1,1,2,2,1,1,1,1,3,3,2,3,3,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,3,3,3,1,1,1,1,1,1,1,2,1,2,2,2,2,6,6,8,7,2,3,3,71,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,1,1,1,2,2,1,2,2,3,3,3,3,3,3,3,3,11,3
Albania,ALB,23,1,4,5,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,1,1,2,2,1,1,2,1,1,2,2,1,2,1,3,3,2,2,1,1,4,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,3,1,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,4,4,3,4,4,1,4,1,1,1,1,1,1,1,1,3,3,3,2,3,3,1,4,1,1,1,1,1,1,1,1,1,3,3,1,3,3,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,6,5,2,3,2,10,2,1,2,2,3,3,2,2,3,3,2,3,3,3,2,2,2,3,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,3,3,2,3,3,4,3,2,8,3
Armenia,ARM,23,1,4,3,2,2,2,3,3,2,2,1,1,2,1,2,1,1,1,2,2,3,3,2,4,3,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,3,2,2,2,1,5,1,1,2,1,2,1,2,3,3,2,2,3,2,2,2,3,1,1,2,2,2,2,3,1,1,1,1,1,4,1,1,2,1,4,3,4,4,4,1,4,1,1,1,1,1,1,1,2,3,3,4,2,3,3,1,3,1,1,1,2,1,1,1,1,2,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,5,5,6,5,2,3,2,11,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,12,3
Australia,AUS,15,1,4,5,2,2,2,3,3,2,2,1,1,2,2,2,2,1,1,2,2,3,2,1,3,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,3,1,2,1,1,1,2,2,2,2,3,3,3,1,2,1,1,1,1,2,2,2,2,3,1,1,1,1,2,4,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,2,1,1,2,3,3,3,2,3,3,2,3,2,2,1,2,2,2,1,1,2,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,58,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,10,2
Austria,AUT,19,1,4,5,2,2,2,3,3,2,2,1,1,2,2,2,1,1,1,2,2,3,3,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,2,1,2,4,1,2,2,2,1,2,2,3,3,2,3,3,2,2,1,2,1,1,2,2,2,2,3,1,1,1,1,1,5,2,2,1,1,3,3,3,4,4,2,3,2,2,2,2,1,1,1,2,3,3,3,2,3,3,2,3,1,1,1,2,2,1,1,1,2,3,3,2,3,3,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,3,3,3,2,3,3,2,1,1,1,1,2,1,1,2,1,1,1,3,1,5,5,7,6,2,2,3,9,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,10,2
Azerbaijan,AZE,21,1,4,4,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,3,2,2,3,3,2,1,2,3,2,1,2,1,1,2,2,2,1,2,2,3,2,2,2,1,4,1,1,2,2,2,1,2,2,2,2,2,3,2,2,1,3,1,1,2,2,2,2,2,1,1,1,1,2,4,1,1,1,1,3,3,4,4,4,1,3,1,1,1,1,1,1,1,2,3,3,3,2,3,3,1,3,1,1,2,1,1,1,1,1,2,3,3,2,3,3,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,3,2,3,3,3,1,1,2,1,1,1,1,2,1,1,1,2,1,5,5,6,6,3,2,2,22,2,1,4,3,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,2,1,2,1,3,2,2,2,2,3,2,2,13,2
Bahrain,BHR,12,1,3,5,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,1,1,2,1,1,2,3,1,1,1,1,1,4,2,2,2,1,3,3,3,3,3,1,3,1,2,2,1,1,1,1,1,3,3,3,2,3,3,1,3,1,1,1,2,1,1,1,1,1,3,3,2,3,3,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,3,3,3,1,1,1,1,2,1,1,2,1,2,1,2,1,5,5,7,7,2,2,3,48,1,1,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,3,3,2,3,3,3,3,2,8,2
Belgium (Flemish),BFL,16,1,3,5,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,3,3,2,2,1,2,2,2,2,1,3,2,2,2,2,1,1,3,1,2,2,2,2,2,3,3,3,2,3,3,1,2,1,2,1,1,2,2,2,1,3,1,1,1,1,2,5,2,1,2,1,3,3,3,4,3,2,3,2,2,2,1,1,1,1,2,3,3,3,2,3,3,2,3,2,1,1,2,1,1,1,1,2,3,3,2,3,3,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,3,3,3,2,3,3,2,1,2,1,1,2,1,2,2,2,2,2,3,1,6,6,7,7,2,3,3,29,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,10,2
Bosnia and Herzegovina,BIH,18,1,4,5,2,2,2,3,3,2,2,1,1,2,2,2,1,1,1,2,2,3,2,2,3,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,3,2,2,1,1,4,1,1,2,2,2,1,2,3,3,2,2,3,2,2,1,3,1,1,2,2,2,2,2,1,1,1,1,1,4,2,1,1,1,3,4,3,4,4,2,3,2,2,2,1,1,1,1,2,3,3,3,2,3,3,2,3,1,1,2,2,1,1,1,1,2,3,3,2,3,3,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,2,3,2,3,3,3,1,1,1,1,1,1,1,2,1,1,1,2,1,4,5,5,6,2,3,3,27,2,1,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2,2,2,2,2,6,2
Bulgaria,BGR,27,1,5,6,2,2,2,3,3,2,2,1,1,2,2,2,2,1,2,2,2,3,2,2,3,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,2,3,2,2,2,1,4,1,2,2,2,2,1,2,3,3,1,1,3,2,2,2,3,1,1,2,2,2,2,3,1,1,1,1,1,4,2,1,1,1,3,3,3,4,4,2,3,1,2,2,1,1,1,1,2,3,3,3,2,3,3,1,4,1,1,2,2,1,1,1,1,1,3,3,2,4,3,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,5,6,6,7,2,2,2,35,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,2,1,2,1,1,2,1,1,1,1,3,3,2,3,3,3,2,2,14,3
Canada,CAN,15,1,4,5,2,2,2,3,3,3,2,1,1,2,2,2,2,1,2,2,2,3,2,1,3,2,2,1,2,2,1,1,2,1,2,2,2,2,2,3,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,3,2,3,3,1,2,1,1,1,1,2,2,2,2,3,1,1,1,1,2,4,2,2,2,1,3,3,3,3,3,2,3,2,2,2,1,1,1,1,2,3,3,3,2,3,3,2,3,1,2,1,2,1,1,1,1,2,3,3,2,3,3,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,3,2,3,3,3,1,1,1,1,2,1,1,2,1,2,2,3,1,6,6,8,8,2,3,2,54,2,1,2,1,2,1,2,2,2,2,1,2,2,3,2,2,2,3,3,2,2,2,2,2,1,2,1,1,2,2,1,1,2,3,3,2,3,3,3,3,2,8,3
